track_id,est_bpm,brightness,energy_rms,percussiveness
51292113,123.05,2497.42,0.28396,0.07792
15106579,123.05,2884.9,0.23509,0.12846
97766653,123.05,2379.32,0.28314,0.07457
201347939,123.05,2197.18,0.26073,0.08535
136110276,129.2,2553.19,0.17441,0.10717
103969991,129.2,3137.62,0.27113,0.12842
75960767,129.2,2493.9,0.21415,0.09833
20779122,123.05,3103.88,0.19027,0.1245
169470696,123.05,2958.12,0.24994,0.13344
267977586,123.05,1740.62,0.25941,0.04243
99291845,123.05,1740.62,0.25941,0.04243
127352795,117.45,2179.76,0.39593,0.07777
223823441,123.05,2367.05,0.23683,0.08715
197766831,123.05,2316.84,0.33472,0.08222
157297907,123.05,2663.54,0.245,0.10116
110916327,129.2,2156.02,0.1504,0.08337
202567146,123.05,1405.61,0.31091,0.04381
14706253,129.2,1950.2,0.30488,0.06586
46282588,123.05,1640.55,0.21803,0.06047
10695938,123.05,2797.25,0.21135,0.1113
40911333,123.05,2783.03,0.20165,0.10397
241431088,123.05,2677.0,0.25531,0.09004
95241601,123.05,1641.47,0.2902,0.0535
115222207,123.05,2540.06,0.26606,0.11694
138677959,99.38,1803.68,0.19198,0.07262
196126687,123.05,1987.83,0.20029,0.0825
115864083,123.05,2087.87,0.30961,0.06025
132218092,129.2,2593.81,0.23414,0.08281
114140478,123.05,2212.76,0.30803,0.08084
142632244,123.05,2995.34,0.23447,0.09844
181072608,123.05,3190.15,0.31534,0.14558
176817898,123.05,2446.69,0.28722,0.10301
167623400,123.05,2127.99,0.23244,0.07375
144723408,123.05,2581.13,0.2806,0.07808
264403739,123.05,2377.85,0.2207,0.09543
249222784,129.2,2750.15,0.26988,0.11787
68915673,129.2,3396.98,0.31952,0.15268
93757076,123.05,2279.02,0.22484,0.10327
91336596,123.05,2356.93,0.28295,0.09209
233250463,123.05,2598.7,0.30824,0.11237
52986228,123.05,2071.6,0.23127,0.09517
182651859,123.05,2194.64,0.31962,0.08699
225546369,143.55,2061.15,0.28444,0.07872
2618885,129.2,2033.81,0.29715,0.06958
61147635,123.05,2416.8,0.2932,0.09261
92219628,123.05,3231.02,0.23428,0.16098
226855847,123.05,2408.81,0.28634,0.08141
149736979,117.45,2306.21,0.21217,0.08471
252659632,129.2,1935.63,0.3034,0.06348
27787539,117.45,1393.22,0.15082,0.04004
162881957,117.45,1812.72,0.29453,0.05289
13445420,107.67,1499.41,0.31931,0.04411
115957213,123.05,1581.15,0.25968,0.03215
98075973,123.05,1700.35,0.21851,0.05996
23468076,123.05,1809.24,0.21895,0.07146
93750674,123.05,2620.07,0.2378,0.07595
264471674,123.05,2812.93,0.25156,0.13852
267819799,129.2,3361.1,0.29226,0.15161
266606317,117.45,2040.7,0.27504,0.07073
143061326,117.45,2369.61,0.22736,0.06929
265729665,123.05,2328.81,0.29486,0.0886
267921116,123.05,3003.39,0.24949,0.15211
146180859,117.45,1561.7,0.26801,0.04554
165742214,123.05,1773.03,0.22513,0.05227
138398881,129.2,2393.57,0.25109,0.103
10061190,129.2,3299.29,0.29793,0.18013
94038448,123.05,2166.56,0.21062,0.074
111570597,129.2,2126.06,0.23647,0.07868
91383377,123.05,2200.8,0.29553,0.07937
213555697,123.05,2947.15,0.26253,0.15912
142660571,123.05,2804.32,0.23088,0.14125
201666712,123.05,1853.03,0.22046,0.07668
193345767,123.05,2029.17,0.26325,0.07626
57733461,123.05,2221.04,0.25676,0.07412
113310578,123.05,1994.63,0.31445,0.07023
236067797,123.05,2071.42,0.26158,0.07311
180033515,123.05,1813.37,0.21349,0.04868
124283764,123.05,1282.08,0.24871,0.04479
197621759,123.05,1932.01,0.25812,0.06949
193946901,123.05,2193.62,0.21374,0.07349
92580376,123.05,2135.77,0.1746,0.07167
40170864,123.05,2480.95,0.31924,0.08806
36401437,123.05,3010.13,0.1894,0.15427
261640498,123.05,2507.2,0.21514,0.12226
242630659,129.2,2425.36,0.2442,0.09967
54933895,123.05,2379.23,0.28029,0.06412
53783908,117.45,1909.49,0.2098,0.07981
147884568,123.05,1752.0,0.24565,0.05305
97398365,117.45,1928.64,0.26244,0.0542
94762842,123.05,1601.32,0.24568,0.05393
225198762,123.05,1849.29,0.29094,0.05564
80860193,123.05,3036.83,0.24926,0.13707
1546865,123.05,3306.64,0.20973,0.15061
254806988,123.05,1796.16,0.1887,0.06884
33447348,117.45,2299.4,0.19755,0.09204
43568232,123.05,3456.41,0.24627,0.11105
220191402,129.2,2394.51,0.23424,0.12933
85122553,123.05,2323.74,0.28596,0.06322
132246524,123.05,2995.86,0.22993,0.14775
77787618,123.05,1940.07,0.19841,0.06222
223800629,123.05,2205.6,0.19049,0.07286
112772194,123.05,2640.06,0.16895,0.10442
26289551,161.5,1754.69,0.27163,0.05448
37322132,112.35,2644.16,0.24046,0.09662
68684684,123.05,3012.99,0.17925,0.12113
179865241,123.05,2380.41,0.19253,0.08973
123133076,117.45,2069.64,0.29922,0.06956
181277037,99.38,1952.0,0.21703,0.07803
157296062,123.05,2275.63,0.19962,0.0832
55650187,123.05,2328.39,0.26257,0.09367
161258152,123.05,3522.19,0.20906,0.17571
49758734,117.45,1808.07,0.26486,0.04841
93868047,123.05,2880.9,0.31515,0.11379
71761505,129.2,2534.84,0.24285,0.08739
107309525,123.05,2323.93,0.25093,0.08833
73995056,99.38,2097.75,0.31737,0.07404
65582049,123.05,2431.41,0.2704,0.09743
95961220,123.05,993.26,0.22545,0.03077
165524840,123.05,2451.76,0.20866,0.10763
167910487,117.45,2185.28,0.2913,0.06104
266814082,123.05,3061.53,0.25091,0.11152
171743137,123.05,2668.93,0.23837,0.11306
248377847,123.05,1896.53,0.25088,0.07453
156215897,123.05,2540.28,0.21563,0.10744
39877509,123.05,3592.88,0.23692,0.16114
42070006,123.05,3120.16,0.31567,0.16664
190394793,143.55,2147.89,0.35585,0.08138
36855175,123.05,2710.99,0.21653,0.1208
184957598,123.05,2722.77,0.24436,0.10276
234186244,123.05,1834.6,0.1917,0.06619
142540598,117.45,2207.66,0.18196,0.10375
138649660,117.45,2306.27,0.26929,0.08047
202823662,123.05,2809.1,0.23147,0.10486
66577664,123.05,1796.16,0.20437,0.0818
60989519,123.05,2003.52,0.28341,0.07294
234857078,123.05,2497.98,0.20598,0.07717
95048447,123.05,2213.41,0.27302,0.06043
89688059,129.2,2652.6,0.22562,0.1079
1731822,123.05,1982.32,0.30346,0.07181
105619212,117.45,2430.33,0.25794,0.05905
222606809,123.05,1324.41,0.32797,0.03267
185361497,129.2,2432.3,0.18804,0.09692
2034467,123.05,1909.23,0.23393,0.06187
195007580,123.05,2130.09,0.2487,0.06593
250026593,123.05,1604.65,0.2647,0.06392
124801849,129.2,2848.54,0.19947,0.11229
71138534,123.05,1451.35,0.32145,0.05484
69149239,123.05,2874.11,0.22678,0.10423
236739625,123.05,3681.28,0.18002,0.19133
40410713,129.2,2089.64,0.30825,0.06366
137786811,129.2,2156.3,0.29468,0.07737
49872996,129.2,2861.05,0.25518,0.14214
150493197,123.05,2525.37,0.28456,0.11546
55180456,123.05,2878.11,0.23791,0.14028
33189004,123.05,1684.74,0.28354,0.04206
250235618,123.05,2635.46,0.26771,0.07999
140507159,123.05,2661.04,0.25226,0.10298
189607607,107.67,2990.18,0.17633,0.13359
49418341,112.35,1721.5,0.18323,0.05749
214769220,129.2,3497.12,0.26459,0.15041
228284650,123.05,1733.69,0.23219,0.06649
232265181,129.2,2797.96,0.2628,0.1098
247494727,123.05,3560.39,0.11415,0.20196
234287874,123.05,1724.55,0.26236,0.0742
30172212,129.2,2827.51,0.33766,0.08573
114401179,123.05,2097.89,0.28334,0.0948
131376727,123.05,3026.42,0.22862,0.15787
175453858,123.05,2150.14,0.2219,0.08058
3465079,123.05,3168.78,0.24783,0.13376
61455450,129.2,2700.31,0.3031,0.11691
67373601,123.05,2162.55,0.31646,0.08294
238401432,129.2,1637.99,0.38853,0.03963
215303743,129.2,2284.9,0.19671,0.09595
13725939,129.2,2735.88,0.31356,0.09981
13243339,123.05,2915.82,0.27645,0.14532
18220199,129.2,2553.14,0.25198,0.1085
71658029,123.05,1700.03,0.27192,0.05121
228512498,123.05,3286.99,0.25946,0.14682
95210060,129.2,2691.42,0.26734,0.11131
78320939,123.05,2742.25,0.26469,0.11807
254102380,123.05,3196.86,0.30287,0.12786
20448789,123.05,1658.29,0.28289,0.04894
45315752,123.05,2025.23,0.30194,0.06144
133713144,123.05,2715.91,0.1971,0.10704
143279501,123.05,2926.53,0.21412,0.12454
129713651,123.05,1396.85,0.24004,0.04246
